Time (s),Speed (RPM),,Cycle,Number of Revolutions
4.1792,651.31,,,
4.1833,566.69,,,
4.1875,496.38,,,
4.1917,440.23,,,
4.1958,396.91,,,
4.2,364.45,,,
4.2042,340.75,,,
4.2083,323.83,,,
4.2125,311.99,,,
4.2167,303.85,,,
4.2208,298.35,,,
4.225,294.69,,,
4.2292,292.27,,,
4.2333,290.71,,,
4.2375,289.7,,,
4.2417,289.06,,,
4.2458,288.65,,,
4.25,288.4,,,
4.2542,288.24,,,
4.2583,288.15,,,
4.2625,288.09,,,
4.2667,288.05,,,
4.2708,288.03,,,
4.275,288.02,,,
4.2792,288.01,,,
4.2833,288.01,,,
4.2875,288,,,
4.2917,288,,,
4.2958,288,,,
4.3,288,,,
4.3042,288,,,
4.3083,288,,,
4.3125,288,,,
4.3167,288,,,
4.3208,288,,,
4.325,288,,,
4.3292,288,,,
4.3333,288,,,
4.3375,288,,,
4.3417,288,,,
4.3458,288,,,
4.35,288,,,
4.3542,288,,,
4.3583,292,,,
4.3625,306,,,
4.3667,334,,,
4.3708,376,,,
4.375,428.5,,,
4.3792,486.25,,,
4.3833,544,,,
4.3875,597.63,,,
4.3917,644.55,,,
4.3958,683.65,,,
4.4,714.93,,,
4.4042,739.1,,,
4.4083,757.23,,,
4.4125,770.48,,,
4.4167,779.94,,,
4.4208,786.57,,,
4.425,791.12,,,
4.4292,794.2,,,
4.4333,800.23,,,
4.4375,815.5,,,
4.4417,844.22,,,
4.4458,886.55,,,
4.45,939.11,,,
4.4542,996.76,,,
4.4583,1054.3,,,
4.4625,1107.7,,,
4.4667,1154.4,,,
4.4708,1193.4,,,
4.475,1224.5,,,
4.4792,1250.8,,,
4.4833,1276.8,,,
4.4875,1305.9,,,
4.4917,1339.1,,,
4.4958,1375.6,,,
4.5,1412.9,,,
4.5042,1448.8,,,
4.5083,1481.3,,,
4.5125,1509.3,,,
4.5167,1538.6,,,
4.5208,1578.8,,,
4.525,1636.7,,,
4.5292,1712.8,,,
4.5333,1802.5,,,
4.5375,1898.2,,,
4.5417,1992.3,,,
4.5458,2078.7,,,
4.55,2153.8,,,
4.5542,2216.1,,,
4.5583,2265.7,,,
4.5625,2304,,,
4.5667,2336.4,,,
4.5708,2370.4,,,
4.575,2411.6,,,
4.5792,2461.4,,,
4.5833,2517.8,,,
4.5875,2576.7,,,
4.5917,2634.1,,,
4.5958,2686.5,,,
4.6,2731.9,,,
4.6042,2769.4,,,
4.6083,2804.9,,,
4.6125,2847.6,,,
4.6167,2904.2,,,
4.6208,2975.9,,,
4.625,3058.6,,,
4.6292,3146.1,,,
4.6333,3231.6,,,
4.6375,3309.9,,,
4.6417,3377.9,,,
4.6458,3434.1,,,
4.65,3478.9,,,
4.6542,3513.5,,,
4.6583,3539.3,,,
4.6625,3558.1,,,
4.6667,3571.6,,,
4.6708,3581,,,
4.675,3596.8,,,
4.6792,3634,,,
4.6833,3702.5,,,
4.6875,3793.5,,,
4.6917,3885,,,
4.6958,3955.5,,,
4.7,3992.9,,,
4.7042,4005.2,,,
4.7083,4012.9,,,
4.7125,4034.9,,,
